title	url	time	summary	content
Euro Latest: EUR/USD, EUR/GBP, EUR/JPY Levels to Watch	https://www.dailyfx.com/forex/market_alert/2020/12/22/Euro-Latest-EURUSD-EURGBP-EURJPY-Levels-to-Watch.html	1608633000	The new strain of Covid-19 spreads across Europe $$$$EUR/USD, EUR/GBP, and EUR/JPY levels to watch.	EUR/USD is trading a little softer this morning as the pair reacts to the approval of a stimulus package in the US and the ongoing talks regarding Brexit. In what was a general risk-off day yesterday, EUR/USD retreated to last week’s low but found support at the da-day moving average at 1.2130. $$$$The discovery of a new strain of the virus added to the worsening of the health condition in many countries, which put downside pressure on risk-on assets that were already venturing far into overbought territory. This I turn led to an increase in demand in the US Dollar as a safe-haven, which rose to just under 91.00, its highest value in 10 days.$$$$Given the proximity of the Christmas holiday, I’m expecting to see consolidation at current prices for the next few days in the absence of a risk event, but a reduction in liquidity in the days between Christmas and New Year could see volatility increase rapidly. $$$$EUR/USD Daily chart.$$$$Looking at the daily chart, the rising support trendline formed by connecting the lows since November 4th continues to be an important area going forward. If downside pressure sees another fall below this line, 1.2120 comes in as the next area of support, with a fall below 1.20 seen as the objective for sellers. On the upside, we need to see a break above 1.2270 to start considering a possible push towards 1.24.$$$$The UK and EU have sent 54 months trying to decide how to define their relationship past December 1st 2021, and whilst the pound was taking advantage of what seemed to be a possible light at the end of the tunnel, it only took 24 hours for the coronavirus to steal the spotlight and send the pound crashing on Monday after the UK was left virtually isolated from the rest of Europe to avoid the spread of this new strain.$$$$EUR/GBP has been highly volatile since the beginning of the month, as news headlines about Brexit took over market sentiment. Prior to December, the pair had been in a clear downward trajectory which was expected to culminate in a break of key support at 0.8863, but the fear the UK would leave the EU without a deal took over, meaning the pound was left weakening against an already strong euro. $$$$EUR/GBP Daily Chart.$$$$We are now about halfway of the range that has been in play for the most part of the last 6 months, from 0.8863 to 0.9223, after the pair touched the upper side of the range in yesterday’s session. Direction is very unclear at this point, as momentum can change rapidly when new Brexit headlines come out, but for now, the 23.6% Fibonacci at 0.9223 seems to be a good lid for the pair. $$$$The RSI has exited the overbought area and the stochastic is hovering around the 50-line, which could mean that further weakness may be seen in the short-term, with the 38.2% Fibonacci at 0.9040 being the next key support. $$$$EUR/JPY has been trading with a neutral bias in the last few weeks, holding just above the 125.75 line, but momentum indicators are beginning to point to weakening support for the euro, with a bearish bias in the short-run. $$$$On the upside, a break above 127.05 resistance would challenge the high since March 2019 at 127.60. Further buying pressure would turn short-term momentum bullish and could see 129.35 come into play as the next objective, being the highest level since November 2018. $$$$To the downside, the 20-day moving average is acting as the main support at 126.16, followed by 125.70 before leaving EUR/JPY exposed to the 125.00 mark. Further bearish momentum could see the pair reverse the gains seen in December, falling back towards 124.45, where the 50-day and 100-day moving averages are converging. $$$$EUR/JPY Daily Chart.$$$$--- Written by Daniela Sabin Hathorn, Market Analyst.$$$$Follow Daniela on Twitter @HathornSabin.
Euro Outlook: EUR/USD, EUR/GBP Levels to Watch	https://www.dailyfx.com/forex/market_alert/2020/12/24/Euro-Outlook-EURUSD-EURGBP-Levels-to-Watch.html	1608811200	EUR/USD | Narrow Range Maintained.$$$$EUR/GBP | 200DMA Breached, November Lows in Focus.	EUR/USD Price Analysis & News.$$$$Aside from the Pound, G10 FX has been unsurprisingly muted as markets wind down for the Christmas period. All eyes remain on an official announcement of a Brexit deal, which is within the next few hours. In light of the risk-on catalyst, safe-haven currencies (JPY, CHF) are on the backfoot against high-beta FX.$$$$ G10 FX Intra-day Performance.$$$$The pair continues to hover around the 1.22 mark with recent gains underpinned by the wave of Brexit optimism. However, an offsetting factor for a push higher in the Euro is likely due to the pullback in EUR/GBP which has hit fresh 3-week lows. Topside challenges remain at the high 1.22s, while key support is situated at 1.2120-30. That said, EUR/USD is expected to remain in a relatively narrow 1.2160-1.2215 range.$$$$Pivot | 1.2186.$$$$Support | 1.2151, 1.2118, 1.2083.$$$$Resistance | 1.2219, 1.2254, 1.2288.$$$$The cross has made a break below the psychological 0.90 handle and 200DMA (0.8983), raising scope for a move towards the November lows situated at 0.8860 in the short-run. However, given seasonal factors, liquidity remains scarce, thus the cross is prone to choppy price action.$$$$Moving Average (MA) Explained for Traders.$$$$Pivot | 0.9046.$$$$Support | 0.8982, 0.8936, 0.8872.$$$$Resistance | 0.9092, 0.9156, 0.9219.$$$$EUR/GBP Chart: Daily Time Frame.$$$$Source: Refinitiv.
DAX 30 Consolidation Threatened as EUR/USD Strengthens	https://www.dailyfx.com/forex/market_alert/2020/12/02/DAX-30-Consolidation-Threatened-as-EURUSD-Strengthens--.html	1606905000	Vaccine hopes keep equities supported.$$$$EUR/USD pushes to highest level since 2018 above 1.20.$$$$DAX 30 struggles to clear key resistance as rising wedge pattern starts to form 	Renewed hopes of an efficient vaccine rollout keep global equities supported for the meantime, but profit-taking and defensive hedging could be what keeps markets capped towards the end of the year. Also, a weakening US Dollar has led EUR/USD to push above 1.20 and hit its highest level since 2018, which is a detriment to those European companies heavily reliant on exports. $$$$EUR/USD Weekly Chart $$$$Focusing on German stocks, the trend has been upbeat since the recovery from the March lows began and the DAX 30 has been the only European stock index to reach the levels seen pre-pandemic, even before positive vaccine news broke out at the beginning of November. This is partly due to the fact that both value and growth stocks comprise the DAX and therefore the German index was able to receive some safe haven flows once the recovery got underway. Also, the German economy has always been perceived to be stronger than the rest of Europe, so capital would have felt safer being placed in the DAX than other European indices.$$$$But this positive differentiation in the recovery stages can also be a detriment once markets stabilise, which is what we’re seeing now. Capital rotation from safer investments is likely to move to riskier assets, slightly limiting the upside potential of assets considered to be safer, which is to some extent what we can expect to see happen to the DAX compared to other European indices. This effect is expected to be less obvious than in other stock indices like the Nasdaq which are mostly made up of growth stocks, given that the German stock index also has some value stocks which are outperforming on positive vaccine news. $$$$DAX 30 TECHNICAL ANALYSIS.$$$$The DAX 30 also managed to push higher this past week but an important horizontal resistance at 13,325 and 13,400 showed to be tough areas for buyers to crack. Upside momentum has been halted for several days now at these levels, but we can expect the German Index to continue its attempt to push higher. If so, the next area which may offer resistance is located between 13,530 and 13,600, where bullish momentum was softened in various instances back at the beginning of 2020 and before the coronavirus outbreak.$$$$As mentioned previously, overbought conditions are now present for the DAX 30 so a short-term downside correction should not be a surprise. Short-term support can be found at the ascending trendline connecting the higher lows since the 13th of November, currently at 13,290, with the 13,000 mark as the next area for bears to target. This trendline can also be seen as a rising wedge by connecting the highs since November 9th, which would be considered a bearish sign.$$$$DAX 30 Daily Chart.$$$$Learn more about the stock market basics here or download our free trading guides. $$$$--- Written by Daniela Sabin Hathorn, Market Analyst.$$$$Follow Daniela on Twitter @HathornSabin.
EUR/USD Rates May Dismiss ECB Easing and Extend Push to Yearly Highs	https://www.dailyfx.com/forex/market_alert/2020/12/08/EURUSD-Rates-May-Dismiss-ECB-Easing-and-Extend-Push-to-Yearly-Highs.html	1607475600	The upcoming ECB monetary policy meeting may have little impact on the near-term trajectory of the Euro. $$$$EUR/USD seems poised to extend its recent rally after slicing through Bull Flag resistance. 	The Euro has surged over 2% against the US Dollar in December, pushing to its highest levels since April 2018. This impulsive topside push looks set to extend in the near term, despite the European Central Bank flagging further monetary policy easing at its upcoming meeting on December 10. $$$$The central bank’s November meeting minutes stated that “members widely agreed that, given the sharper slowdown in growth momentum and the weakening of underlying inflation dynamics compared with what had previously been expected, it would be warranted to recalibrate the monetary policy instruments in December”. $$$$The ECB is expected to expand its €1.35 trillion Pandemic Emergency Purchase Program (PEPP) and offer new long-term loans to banks through Targeted Longer-Term Refinancing Operations (TLTROs), with President Christine Lagarde stating that these “remain the main tools for adjusting our monetary policy”.  $$$$DailyFX Economic Calendar.$$$$Yet, the International Monetary Fund has urged the ECB to consider options outside of expanding assets purchases given the notable stagnation in consumer price growth in the European Union. The trading bloc has recorded four straight months of deflation, with headline inflation flatlining at a record low of -0.3%. $$$$Indeed, there appears to be an outside chance that the central bank may consider lowering interest rates further, after Governing Council member Klaas Knot said that “we wouldn’t want to exclude any measure going into December”, when questioned on the matter in a recent interview. Markets are currently pricing in a 25% chance of a rate cut at the upcoming meeting. $$$$Euro-Area Inflation Rate.$$$$Source – TradingEconomics.$$$$However, it appears these calls may go unanswered by the central bank in the near term at least, with Executive Board member Isabel Schnabel stating that “I think it’s appropriate to focus on preserving these conditions rather than easing much further”. $$$$Schnabel added that “what’s clear is that since the beginning of the pandemic, PEPP and TLTROs have proven highly effective and are therefore likely to be the main instruments for recalibration”. $$$$Therefore, the absence of more aggressive easing from the ECB may buoy the Euro in the short term and allow the currency to continue pressing higher against its major counterparts. $$$$EUR/USD weekly chart created using Tradingview $$$$From a technical perspective, EUR/USD rates appear to be eyeing a push to challenge the 2018 high (1.2556), after bursting above Bull Flag resistance and slicing through the 2017 high (1.2092). $$$$With prices tracking firmly above all four moving averages, the path of least resistance seems to favour the upside. $$$$Remaining constructively perched above psychological support at 1.2100 would likely open the door for price to probe the 50% Fibonacci (1.2290), with a weekly close above 1.2300 bringing the 2018 high into play. $$$$Alternatively, slipping back below the 2017 high could inspire a pullback towards the July high (1.1909). $$$$EUR/USD daily chart created using Tradingview $$$$Zooming into a daily chart reinforces the bullish outlook depicted on the weekly timeframe, as prices continue to hold firmly above the 2017 high (1.2092) and psychological support at 1.2100. $$$$A daily close above the December 6 high (1.2178) would probably neutralize near-term selling pressure and carve a path for price to test the 50% Fibonacci (1.2290). $$$$Conversely, breaching psychological support could trigger a short-term correction towards the September high (1.2011), with a daily close below bringing the trend-defining 50-day moving average (1.1878) into focus.$$$$The IG Client Sentiment Report shows 30.73% of traders are net-long with the ratio of traders short to long at 2.25 to 1.The number of traders net-long is 8.09% higher than yesterday and 37.50% higher from last week, while the number of traders net-short is 0.27% higher than yesterday and 4.50% lower from last week.$$$$We typically take a contrarian view to crowd sentiment, and the fact traders are net-short suggests EUR/USD prices may continue to rise.$$$$Yet traders are less net-short than yesterday and compared with last week. Recent changes in sentiment warn that the current EUR/USD price trend may soon reverse lower despite the fact traders remain net-short.$$$$-- Written by Daniel Moss, Analyst for DailyFX.$$$$Follow me on Twitter @DanielGMoss.
US Dollar Selling Persists, EUR/USD Nearing 1.20, GBP/JPY to Outperform	https://www.dailyfx.com/forex/market_alert/2020/11/30/USD-EURUSD-GBPJPY.html	1606732200	EUR/USD Approaching 1.2000 $$$$Watch Out for Possible Month-End USD Selling into London Fix.$$$$GBP/JPY Tends to Outperforms on Last Trading Day After Strong Monthly SPX Gains.	US Dollar Analysis & News.$$$$The USD has begun the week, much how it had finished last week, on the backfoot as month-end flows dictates G10 FX. The notable beneficiary has been the Euro which is looking to make a retest of the 1.20 handle. However, while there may be rising concerns of ECB verbal intervention again as EUR/USD nears 1.20, there is a sense that this time it may be different. The key reason being that the Euro TWI is not at multi-year highs as it was in the Summer, meaning that the FX passthrough into a softer inflation outlook is lower. $$$$EUR/USDvs EUR TWI.$$$$Source: Refinitiv.$$$$Watch Out for Possible USD Selling into London Fix.$$$$This month has seen a stellar rise in equity markets following a Biden victory and recent vaccine optimism with the S&P 500 posting its second-best monthly gain this year (rising 11%). In turn, the consensus is for above-average month-end USD selling into the London 4pm fix. As a reminder, back in April after the S&P 500 saw 12% monthly rise, the USD had come under heavy selling in the run-up (between 1500-1600) to the month-end London fix. $$$$Source: Refinitiv.$$$$Another observation is that whenever the S&P 500 has had a monthly gain over 3%, GBP/JPY has tended to perform well into the London fix. That said, while markets remain on Brexit headline watch, I don’t rule out another strong performer into the fix. $$$$Source: Refinitiv.
Euro Outlook: EUR/USD Hitting Resistance, EUR/GBP Upside Faded	https://www.dailyfx.com/forex/market_alert/2020/12/01/Euro-Outlook-EURUSD-Hitting-Resistance-EURGBP-Upside-Faded.html	1606814100	EUR/USD Rejects 1.20 Again EUR/USD.$$$$EUR/GBP Rallies to be Faded.$$$$German Labour Market Remains Firm Despite Lockdown 2.0.	EUR/USD, EURGBP Price Analysis & News.$$$$EUR/USD Rejects 1.20 Again: With month-end noise out of the way, markets can now focus on the longer-term themes. Yesterday’s price action had been rather choppy with EUR/USD once again failing to convincingly break above 1.20. However, dips have been short-lived with the USD based view that rallies in the greenback are likely to be faded. Particularly as the longer-term view remains that 2021 will see a strong cyclical rebound thus benefitting USD counterparts. In the option space, sizeable expiries at 1.20 (1.7bln expiring on Friday) looks set to magnetise spot Euro. In turn, dips are likely to find good support, particularly down towards 1.1920 as long as markets remain risk-on. Elsewhere, on the data front, market focus will be on the ISM Manufacturing PMI, where a firmer than expected reading could see a brief pullback in EUR/USD.$$$$Short-Term Technicals.$$$$Support: 1.1950, 1.1900, 1.1870Resistance: 1.1980, 1.2000, 1.2030.$$$$EUR/GBP Rallies to be Faded: The bias remains for EUR/GBP rallies to be faded. While time is seemingly running out as we near the end of the transition period and with key issues yet to be resolved, the consensus remains that an EU-UK trade agreement will be struck, thus taking a no-deal off the table. Yesterday’s struggle at 0.90 reinforces the view that brief spikes in the cross will find firm resistance. That said, while the 0.8900 offers good support, 0.8860 is the key level on the downside where a close below opens up the door to a slide towards 0.8700.$$$$German Data Recap: The latest German jobs report reaffirms the case that the labour market remains a bright spark within the economy. Perhaps what is more surprising is that the better than expected report has also come at a time where a second national lockdown had been implemented. The German unemployment change fell by 39k, bringing down total unemployment seasonally adjusted to 2.817mln. The unemployment rate fell to 6.1% from 6.2% in October.$$$$According to the German labour market agency, the number of people on short-time work schemes, which have shielded the labour market from the brunt of the pandemic, fell to 2.22mln in compared to 2.6mln in the prior month and a peak of nearly 6mln reached in April at the height of the pandemic.$$$$10 Most Popular Candlestick Patterns.
US Dollar Selling Renewed, GBP/USD Shorts Unwinding - COT Report	https://www.dailyfx.com/forex/market_alert/2020/12/01/US-Dollar-Selling-Renewed-GBPUSD-Shorts-Unwinding---COT-Report-.html	1606829400	US Dollar Selling Renewed with JPY in Demand.$$$$GBPUSD Shorts Begin to Unwind.	US Dollar, EUR/USD, USD/JPY, COT Report –Analysis.$$$$The Analytical Abilities of the COT Report.$$$$How to Read the CFTC Report.$$$$Source: CFTC, DailyFX (Covers up to November 24th, released November 30th)$$$$US Dollar Selling Renewed, GBP/USD Shorts Unwinding- COT Report  $$$$In the latest CFTC reporting week to November 24th, speculators had increased their USD short exposure for the first time since September by $2.4bln with USD selling rather broad-based. This, however, should come as little surprise given that the US Dollar is hovering around its lowest level since April 2018. That said, while investors remain heavily short on the greenback, this does not mean that positioning cannot get shorter, particularly as markets begin to look to 2021 with recent vaccine optimism raising hopes of a faster global rebound than previously expected. Much of the USD selling had been against the Japanese Yen which saw net longs rising $1.2bln to total $4.8bln. $$$$GBP has seen a reduction in bearish bets for the first time in over a month. Although, positioning remains at odds with spot GBP, which continues to trade at elevated levels, despite a trade agreement between the EU and UK yet to be announced. Alongside this, with the reduction in net shorts, GBP/USD could potentially struggle to see a meaningful bounce on the back of an agreement with less shorts being unwound.$$$$Across the commodity currencies, short exposure in CAD and AUD had eased slightly with CAD tracking oil prices higher. NZD however, saw net longs pull back slightly, which is to be expected after recent surge following the pricing out of a negative OCR in NZ front end rates. That said, with a dovish RBNZ now fully priced out, the Kiwi may begin to underperform against the CAD and AUD.$$$$US Dollar  | $$$$EUR/USD | $$$$GBP/USD | $$$$USD/JPY | $$$$USD/CHF | $$$$USD/CAD | $$$$AUD/USD | $$$$NZD/USD | $$$$For a more in-depth analysis on FX, check out the FX Forecast 
DAX 30 Lacks Bullish Momentum, EUR/USD Buyers Eyeing Pullbacks	https://www.dailyfx.com/forex/market_alert/2020/12/07/DAX-30-Lacks-Bullish-Momentum-EURUSD-Buyers-Eyeing-Pullbacks.html	1607337000	Brexit takes center stage as US-China tensions gain traction in the background.$$$$DAX 30 breaks below ascending wedge pattern.$$$$EUR/USD remains bullish in the long-run.	Asian equities were trading lower this morning as tensions between China and the US appear to be back on the table. Tensions escalated back in July when US consulates were closed in China in retaliation for the US having ordered the closure of the Chinese consulate in Houston. The Trump administration is now looking to sanction at least a dozen Chinese officials over their role in disqualifying elected opposition legislators in Hong Kong.$$$$Closer to home, Brexit talks are still struggling to find common ground before the deadline at the end of the year, and news headlines are quickly gaining traction as speculation increases over the possibility of talks ending abruptly as the three main issues – fisheries, governance, and a level playing field – continue to be unresolved. $$$$This has brought back uncertainty in the markets after positive vaccine news in the month of November managed to remove a big part of the coronavirus drag. If we add that to the fact that we are nearing a holiday period, we may expect investors to be on the defensive with their positions, leaving many assets confined to a tight range going forward.$$$$Stock Market Holiday Calendar 2020/21.$$$$DAX 30 Daily chart.$$$$Looking at the daily chart, the DAX 30 confirmed the bearish breakout from the ascending wedge pattern pointed out last week, causing it to retreat to a two-week low at 13,160. This area has now shown short-term support, and so a break below this area could offer further selling pressure down towards the 13,000 mark, where stronger support currently stands. $$$$If price holds above this short-term support, we could see consolidation coming into play, shifting price sideways as investors await for the next catalyst to offer some direction. Momentum indicators have had a chance to reset from overbought conditions that were showing last week, so further upside might be achieved, although gains are likely to be capped around the 13,325 – 13,400 area of resistance. $$$$On the currency front, the euro remains a strong contender but the US Dollar is trying to claw back some losses against a basket of major currencies. EUR/USD managed a fresh two-year high on Friday at 1.2177 but price action quickly reversed and bearish pressure has followed through to start the new week. Although bullish conditions remain for the pair, short-term corrections are likely to arise as the ECB’s monetary policy announcement this Thursday may bring some tailwind risks given expectations of further extensions to the TLTRO program and an increase in PEPP by up to 500bn euros. $$$$A fall below 1.2075 may ramp up selling pressure towards the 1.20 mark, where buyer support is likely to increase. On the upside, a renewed push above 1.21 is likely to accelerate upside momentum towards last week’s high and possibly heading towards a new two-and-a-half-year high at around the 1.23 level. $$$$EUR/USD Weekly chart.$$$$Learn more about the stock market basics here or download our free trading guides. $$$$--- Written by Daniela Sabin Hathorn, Market Analyst.$$$$Follow Daniela on Twitter @HathornSabin.
Euro Latest: EUR/USD Risks Balanced, EUR/JPY Challenges Key Trendline	https://www.dailyfx.com/forex/market_alert/2020/12/08/Euro-Latest-EURUSD-Risks-Balanced-EURJPY-Challenges-Key-Trendline.html	1607423400	EUR/USD Dips Buyers Keep Risks Balanced.$$$$EUR/JPY Challenging Key Trendline Resistance.	EUR/USD: Recent price action in the pair signals that risks are looking more balanced with the Euro struggling for a further upside with multiple failures in the 1.2165-75 region. That said, dips below 1.21 have been shortlived with initial support at 1.2070-75. However, with concerns remaining over Poland and Hungary maintaining their stance over the EU budget veto and with a dovish ECB meeting expected on Thursday, I do not rule out a pullback before the next leg higher. Keep in mind that while the ECB is expected to boost PEPP by another EUR 500bln, a lot of focus will be on the commentary surrounding the Euro given the speed of its appreciation. Although, little/no commentary on the exchange rate could be met with a hawkish reaction with Euro pushing higher, given that this would suggest the ECB are comfortable with the rise in the Euro.$$$$For more information on the ECB, check out this beginners guide to central banks.$$$$Pivot Points: 1.2117 (Pivot)Support: 1.2068, 1.2028, 1.1979Resistance: 1.2157, 1.2206, 1.2255.$$$$Key Fibonacci Retracement Levels: 1.2041, 1.1957.$$$$A traders guide to identifying key support and demand zones in FX trading, click here.$$$$Source: Refinitiv.$$$$EUR/JPY: The cross is testing key trendline resistance stemming from the 2015 peak, however, with the yearly high and 2019 peak situated at 127.07 and 127.50 respectively, this looks to be a tough level to break on its first test. In turn, pullbacks are likely to find support at 125.00 where failure to hold puts the 124.00 handle back in focus thus reducing the risk of a break of the 5-year trendline. $$$$Trend is your friend, Using Trendlines in FX Trading.$$$$Source: Refinitiv.$$$$Source: Refinitiv.
USD Price Outlook: US Dollar Volatility to Take Cue from EUR & GBP	https://www.dailyfx.com/forex/market_alert/2020/12/09/usd-price-outlook-us-dollar-volatility-to-take-cue-from-eur-gbp.html	1607554800	The US Dollar traded mixed on Wednesday and left the DXY Index virtually flat for the session $$$$USD price action has attempted to rebound higher after a sharp stumble to start the month.$$$$EUR/USD and GBP/USD could fuel US Dollar volatility owing to ECB and Brexit event risk 	US Dollar bears appear to have been kept at bay over the last few trading sessions as USD price action extends its rebound attempt following the steep slide to start the month. This has helped fuel a modest relief bounce by the broad-based DXY Index and unwind of its seemingly overextended move lower. $$$$Looking closer at performance across major currency pairs for Wednesday, however, reveals the US Dollar was a mixed bag. USD price action gained ground relative to the Euro, Yen and Canadian Dollar, but retreated against the Pound Sterling. $$$$Chart by @RichDvorakFX created using TradingView.$$$$That said, focus for the remainder of the week will likely be placed on the direction of EUR/USD and GBP/USD amid heightened event risk. The upcoming ECB rate decision due on Thursday, 10 December at 12:45 GMT, in addition to the latest Brexit headlines expected to cross market wires, stand to strongarm the direction of the broader US Dollar indirectly. This is seeing that the DXY Index has a 57.6% weight to EUR/USD and 11.9% weight to GBP/USD. $$$$Learn More - What is Implied Volatility & Why Should Traders Care?$$$$High-impact event risk posed by the ECB meeting and Brexit trade talks have catalyzed a spike in overnight implied volatility readings for EUR/USD and GBP/USD. With the ECB anticipated to recalibrate its quantitative easing programs, and UK-EU negotiators still stuck at an impasse over a Brexit trade deal, the red-hot implied volatility figures come as little surprise. This could warrant greater adherence to sound risk management techniques until the dust settles and more clarity is provided on where USD price action might trend next. Options-implied trading ranges are calculated using 1-standard deviation (i.e. 68% statistical probability price action is contained within the implied trading range over the specified time frame).$$$$-- Written by Rich Dvorak, Analyst for DailyFX.com.$$$$Connect with @RichDvorakFX on Twitter for real-time market insight.
